Glra2,202,Glra2,0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  1
Lhfp,203,Lhfp,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  1  0  0  0  0  0
Npsr1,204,Npsr1,0  0  0  1  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
Dsg2,205,Dsg2,0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0
Scn4b,206,Scn4b,0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  1  0
Gpr4,207,Gpr4,0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0
Nxph1,208,Nxph1,0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0
Chrnb3,209,Chrnb3,0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0
Crh,210,Crh,0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1
C1ql3,211,C1ql3,0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0
Ust,212,Ust,0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  1  0  0
Trhde,213,Trhde,0  1  0  0  0  1  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Marcksl1,214,Marcksl1,0  0  0  0  1  0  1  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
Gli2,215,Gli2,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  1  0  0  0  0  0
Cdh20,216,Cdh20,0  0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0
Hcrtr2,217,Hcrtr2,0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0
Agt,218,Agt,0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0  0  0
Eya2,219,Eya2,0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0
Casr,220,Casr,0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0  0  0  0  1  0  0  0  0
Sp8,221,Sp8,0  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Epha3,222,Epha3,0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0
Nfib,223,Nfib,0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0
Adcyap1,224,Adcyap1,0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0
Scn5a,225,Scn5a,0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
Galr1,226,Galr1,0  0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0
Bcl11b,227,Bcl11b,1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1
Tll1,228,Tll1,0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0
Zic4,229,Zic4,0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0
Agtr1a,230,Agtr1a,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0  0  0
Nkx2-4,231,Nkx2-4,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1  0  1  0  0
Gfap,232,Gfap,0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
Sema5a,233,Sema5a,1  1  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
Chn2,234,Chn2,0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0
Irs4,235,Irs4,0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0
A630012P03Rik,236,A630012P03Rik,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  1
Gja1,237,Gja1,0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0
Wls,238,Wls,1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0
Megf11,239,Megf11,0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0
Dach1,240,Dach1,0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
Gpc3,241,Gpc3,0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1
Lancl3,242,Lancl3,0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0
Slit3,243,Slit3,1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
Chat,244,Chat,0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1
Synpr,245,Synpr,0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
Penk,246,Penk,0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
Ldb2,247,Ldb2,0  0  1  0  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Foxb1,248,Foxb1,0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0
Nptx2,249,Nptx2,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  1  0
Tnnt1,250,Tnnt1,0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0
Cgnl1,251,Cgnl1,0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0
Sema3e,252,Sema3e,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0  1  0  0  0  0  0
Otof,253,Otof,0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0
Irx2,254,Irx2,0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
Hmcn1,255,Hmcn1,0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0
Calcr,256,Calcr,0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  1  0  0  0  0  0  0  0
Drd2,257,Drd2,0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0
Pdzrn3,258,Pdzrn3,1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0
Ethe1,259,Ethe1,0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  1  0  0  0
Mab21l2,260,Mab21l2,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0
Kcng2,261,Kcng2,0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1
Rxfp1,262,Rxfp1,0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0
Kl,263,Kl,0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1
Sorcs3,264,Sorcs3,1  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
Mctp2,265,Mctp2,0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
En1,266,En1,0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0
Mkx,267,Mkx,0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0
Mmel1,268,Mmel1,0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0
Lhfpl5,269,Lhfpl5,0  1  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Ebf1,270,Ebf1,0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  1  0  0
Syt17,271,Syt17,0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0
Col18a1,272,Col18a1,1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
Gpx3,273,Gpx3,0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0
Pappa,274,Pappa,0  0  1  0  1  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Cacng3,275,Cacng3,0  1  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0
Hs3st2,276,Hs3st2,1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0
Gpr139,277,Gpr139,0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0
Sv2b,278,Sv2b,0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0
Slc17a7,279,Slc17a7,0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0
Barhl2,280,Barhl2,0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1
Opalin,281,Opalin,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  0  1  0  0
Gda,282,Gda,0  0  0  0  0  1  0  0  0  0  1  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
Cbln4,283,Cbln4,1  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
Slc38a1,284,Slc38a1,0  0  0  0  0  0  0  0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Htr1d,285,Htr1d,0  0  0  0  0  0  1  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
Ret,286,Ret,1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
Cntn6,287,Cntn6,0  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
Tafa4,288,Tafa4,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  1  0  0  0  0
Col8a1,289,Col8a1,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  1  0  0  0
Fyb,290,Fyb,0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0
Gpr88,291,Gpr88,0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0
Syt6,292,Syt6,0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0
Sp9,293,Sp9,1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0
Qrfpr,294,Qrfpr,0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
Nr2f1,295,Nr2f1,0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
Cntnap3,296,Cntnap3,0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0
Ctxn3,297,Ctxn3,0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0
Col11a1,298,Col11a1,0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0
Medag,299,Medag,0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
Zbtb16,300,Zbtb16,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  1  0  0  0
Hoxb3,301,Hoxb3,0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0
Plpp4,302,Plpp4,0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
Hs3st3b1,303,Hs3st3b1,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  1  0  0  0  0  0  0
Whrn,304,Whrn,0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0
Nxph4,305,Nxph4,0  0  1  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
Igf1,306,Igf1,0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0
Syndig1l,307,Syndig1l,0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  1  0
Slc5a7,308,Slc5a7,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  0  1  0
Moxd1,309,Moxd1,0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
Abi3bp,310,Abi3bp,0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
Egflam,311,Egflam,0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
Ramp1,312,Ramp1,0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0
Sox2,313,Sox2,0  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0  0  0
Grem1,314,Grem1,0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0
Samd5,315,Samd5,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  1  0  0
Rprm,316,Rprm,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  0
Bmp4,317,Bmp4,0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0
Abcc9,318,Abcc9,0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  1  0
Prok2,319,Prok2,0  0  1  0  0  0  0  1  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
Arhgap25,320,Arhgap25,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  1  0  1
Kcnip1,321,Kcnip1,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0  0
Rasgrp1,322,Rasgrp1,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  1
Pde1a,323,Pde1a,0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
Mog,324,Mog,0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  1  0  0
Col23a1,325,Col23a1,0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0
Bnc2,326,Bnc2,0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0
Nxph2,327,Nxph2,0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0  1  0  0  0  0
Gata3,328,Gata3,0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Ighm,329,Ighm,0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1
Kitl,330,Kitl,0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1
Dcn,331,Dcn,0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1
Hs3st4,332,Hs3st4,0  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0  0
Galnt18,333,Galnt18,1  0  0  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Tnc,334,Tnc,0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Lpar1,335,Lpar1,0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
Klk6,336,Klk6,0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0
Car4,337,Car4,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0
Mecom,338,Mecom,0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0
Maf,339,Maf,0  0  0  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0
Tshz2,340,Tshz2,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  1
Kcng1,341,Kcng1,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0
Wnt7b,342,Wnt7b,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  1  0  0
Lncenc1,343,Lncenc1,0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0
Vcan,344,Vcan,1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0
Tox3,345,Tox3,0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0
Nfix,346,Nfix,0  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0
Syndig1,347,Syndig1,0  0  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
Foxa2,348,Foxa2,0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0
Gli3,349,Gli3,0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  1  0  0  0  0  0
Mpped2,350,Mpped2,1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
Pax6,351,Pax6,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  0
Caln1,352,Caln1,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0
Pcp4l1,353,Pcp4l1,0  0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
Tcf7l2,354,Tcf7l2,0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
Rbp4,355,Rbp4,1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  1  0
Ltbp1,356,Ltbp1,0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0
Serpinb8,357,Serpinb8,0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0
Lypd6,358,Lypd6,0  0  1  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Rorb,359,Rorb,1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
Shroom3,360,Shroom3,0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0
Adamts9,361,Adamts9,0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0
Hopx,362,Hopx,1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0
Fbln2,363,Fbln2,0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
Osbpl3,364,Osbpl3,0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
Gabrq,365,Gabrq,0  1  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
Igsf1,366,Igsf1,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  1  0
Arhgap36,367,Arhgap36,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  0  0  1  0  0  0
Grm8,368,Grm8,0  1  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0
Met,369,Met,0  0  0  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0
Ctss,370,Ctss,0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1
Skor1,371,Skor1,0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1
Otx2,372,Otx2,0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0
Meis1,373,Meis1,0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0
Bcl11a,374,Bcl11a,1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  0  0
Tmem132c,375,Tmem132c,1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0
Spock3,376,Spock3,0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1
Kcnmb2,377,Kcnmb2,0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1
Egfem1,378,Egfem1,0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0
Adamtsl1,379,Adamtsl1,1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  1  0
Tbx3,380,Tbx3,0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1
Syt2,381,Syt2,0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0
Tafa1,382,Tafa1,0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0
Klhl14,383,Klhl14,0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0
Shisa6,384,Shisa6,0  1  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0
Barhl1,385,Barhl1,0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0
Dmbx1,386,Dmbx1,1  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
Prlr,387,Prlr,0  0  1  0  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
Apela,388,Apela,0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0
Pde11a,389,Pde11a,0  0  1  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0
A830036E02Rik,390,A830036E02Rik,0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
Gfra1,391,Gfra1,0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1
Ccbe1,392,Ccbe1,0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  1
Fign,393,Fign,1  0  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Ntng1,394,Ntng1,0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0
C230014O12Rik,395,C230014O12Rik,0  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0
Pif1,396,Pif1,0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0
Ddc,397,Ddc,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  1
Ung,398,Ung,0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
Pou6f2,399,Pou6f2,0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0
Pou4f1,400,Pou4f1,0  0  0  1  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
Adra1b,401,Adra1b,0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0  0  0  0  0  0  0  1  0
Lsp1,402,Lsp1,0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0
Adamts2,403,Adamts2,0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
Nos1,404,Nos1,0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1  0
Dgkk,405,Dgkk,0  1  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0
Myo5b,406,Myo5b,0  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0
Sulf2,407,Sulf2,0  0  0  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
St18,408,St18,0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1
